SpectralCentroid,SpectralBandwidth,SpectralRolloff,ZeroCrossingRate,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,LPC,SpectralContrast,ChromaSTFT,Tempo
2039.8244801714761,1516.3185946517033,3553.6890974440894,0.20339800069888178,-459.29672,67.26568,-56.89998,-19.644196,-34.195065,-9.759348,-8.939002,-11.035573,-15.537541,0.086318046,-17.150955,-8.942341,-21.49898,1.2203317,22.66016603355479,0.4694648,133.92857142857142
1550.216598917729,1615.7461968575203,3172.0242834394903,0.08850019904458599,-448.70938,58.97028,-7.335961,39.34941,-17.303877,-23.832401,-18.665499,-23.4134,-32.61496,-22.052519,-19.79149,-23.648754,-26.006971,0.6088535,23.73271095627289,0.24269454,104.16666666666667
2169.9142711580807,1774.9244249641688,4240.277777777777,0.20785108024691357,-457.6895,73.18234,-28.33124,7.6152325,-18.310184,-6.701532,-23.214096,-27.740934,-7.789347,-21.872005,-14.653229,-11.839825,-15.27507,0.69519037,19.249178147380196,0.49876252,117.1875
2471.579862515407,1903.7158728766613,4814.236111111111,0.23083600427350429,-430.8984,46.629917,-16.280588,6.311505,-13.47093,-4.653106,-9.22421,-26.852648,-6.609545,-16.180984,-11.862209,3.6063697,-17.206333,0.7715545,20.556787485805277,0.5349938,187.5
2413.548848574664,1840.6748463791191,4581.93359375,0.24854736328125,-485.77686,61.662193,-16.018993,6.878766,-14.04256,-7.084871,-10.717294,-23.510899,-8.882297,-17.674437,-8.808886,-3.0336242,-15.022038,1.0793409,18.37125743133907,0.5643655,234.375
2145.550942755874,1684.2869580352176,3923.1305803571427,0.22446986607142858,-449.6497,78.06397,-22.004377,8.043909,-8.707816,-11.355377,-13.906697,-29.717402,-12.298116,-18.282017,-15.439047,-5.1142263,-14.068166,1.0680239,19.33369259692853,0.5225276,144.23076923076923
2616.5358005499174,1823.0762692716335,4630.580357142857,0.2855127728174603,-502.71484,61.313114,-12.055255,-0.62816536,-22.317526,-8.04638,-12.595005,-18.235949,-7.3005137,-19.251194,-6.4337373,-5.022066,-12.943148,0.5052747,18.771244120706758,0.5807071,110.29411764705883
1237.6297178081427,1300.41582988781,2022.1185064935064,0.0887688971185065,-291.34457,126.24686,-18.238195,-13.385289,-36.452057,-15.665106,-14.4545965,-12.175741,-16.029997,-32.219585,-18.403332,-5.901349,-18.29548,0.7919104,22.486058724316475,0.39960626,110.29411764705883
1803.1187398007537,1522.8351684291645,3126.602564102564,0.24896396734775642,-361.53906,89.74936,-49.381233,-0.41196892,-4.9411035,-16.700449,-46.256107,-34.045273,8.324327,-30.518436,-19.330593,-8.6134405,-25.683807,0.73526895,20.374914958492077,0.48220065,133.92857142857142
1614.4368867305814,1559.3834352449892,3399.3389423076924,0.11103546925080128,-368.9362,66.235725,-40.587788,9.856959,-26.28332,-20.42747,-18.211536,-37.102066,-26.904634,-19.289507,-21.442343,9.37704,-14.02094,1.2131971,26.037800401796346,0.35193908,117.1875
1135.6100242305338,1307.9226061483407,2371.815286624204,0.06217966261942675,-343.7774,114.18795,-31.697926,32.741238,0.06881383,-15.100774,-33.726555,-43.14911,4.339706,-57.2151,-28.945713,-5.248815,-40.25597,1.2335987,25.119609968913167,0.22383247,117.1875
2101.3262483771946,1861.9109666085437,4164.673746943765,0.19507611934596578,-461.3274,68.41717,-8.6320095,8.804911,-15.371192,-12.525216,-18.129732,-19.534025,-15.009243,-15.240519,-11.767493,-15.9645405,-13.0102625,0.46794853,18.91399940753526,0.50481623,170.45454545454547
2189.0384659122656,1927.6313481097266,4384.259259259259,0.19714506172839505,-513.745,66.55395,-6.4980597,6.0794616,-11.318452,-7.6986423,-15.533237,-17.57613,-15.30921,-15.357869,-9.679374,-13.156193,-13.393689,0.6940323,17.795541756303184,0.56103605,75.0
1804.2607075589367,1749.2004352301703,3570.9821428571427,0.15782645089285716,-472.29352,82.392265,-11.511805,12.271498,-7.6276574,-13.368192,-18.534267,-18.960657,-14.055353,-18.390598,-14.478776,-15.5559435,-10.616802,0.8371821,19.182991770104685,0.4928179,133.92857142857142
1602.4926003486294,1682.6593489155662,3159.7916666666665,0.12608723958333334,-430.57532,85.39249,-11.421509,8.209202,-6.5519314,-14.9166,-21.604565,-19.349203,-13.167029,-19.938162,-11.652283,-17.084074,-12.197295,0.7511085,19.997855876581536,0.47865078,144.23076923076923
2158.886809763955,1970.2555396135401,4494.23828125,0.166961669921875,-504.68262,70.88988,2.4763858,6.763037,-14.482908,-9.480917,-15.122068,-16.919258,-12.848521,-17.483456,-12.196516,-14.853043,-12.509175,0.47060686,19.04773360736875,0.48312557,110.29411764705883
1290.0885318828966,1450.2190671881344,2308.4454113924053,0.10105567642405064,-361.77225,120.32627,-13.541768,-10.992394,-26.429903,-10.904489,-20.59274,-18.596376,-25.893444,-17.019596,-13.809149,-16.721006,-14.38838,0.647152,19.886024610308745,0.48737565,117.1875
1835.6486768667999,1803.4975044398193,3698.235887096774,0.19453125,-399.65747,89.447754,-6.4366565,-22.07986,-23.815062,2.6055372,-27.947643,-22.949657,-23.089548,-16.337137,-1.9375427,-19.946688,-20.405617,0.43801084,19.591039317143213,0.4704281,133.92857142857142
